Time: 08:50:23.444651| SYSTEM   | Connect events done
Time: 08:52:40.268353| SENSOR   | Yaw value received: 288.8
Time: 08:52:40.271919| SYSTEM   | Changed compass orientation
Time: 08:52:40.345950| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:52:40.373318| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:52:40.449288| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:52:40.474033| SENSOR   | Servo safran value received: 200.0
Time: 08:52:40.552372| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:52:40.574965| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:52:40.655677| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:52:40.675359| SENSOR   | Servo voile value received: 113.0
Time: 08:52:45.419821| DEBUG    | func: 9| mode: 1| size: 11| data: update (3s)
Time: 08:52:45.510833| LOG      | [INFO]: received: update (3s)
Time: 08:52:45.521245| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:45.611549| SENSOR   | Yaw value received: 288.8
Time: 08:52:45.614178| SYSTEM   | Changed compass orientation
Time: 08:52:45.623541| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:52:45.715304| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:52:45.725405| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:52:45.816238| SENSOR   | Servo voile value received: 150.0
Time: 08:52:45.828435| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:52:45.916701| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:52:45.930729| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:52:46.017550| SENSOR   | Servo safran value received: 103.0
Time: 08:52:46.539381| DEBUG    | func: 9| mode: 1| size: 11| data: update (4s)
Time: 08:52:46.622414| LOG      | [INFO]: received: update (4s)
Time: 08:52:46.640857| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:46.723186| SENSOR   | Yaw value received: 288.8
Time: 08:52:46.726180| SYSTEM   | Changed compass orientation
Time: 08:52:46.744613| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:52:46.826953| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:52:46.847511| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:52:46.928009| SENSOR   | Servo safran value received: 200.0
Time: 08:52:46.950830| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:52:47.029052| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:52:47.053752| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:52:47.130061| SENSOR   | Servo voile value received: 113.0
Time: 08:52:47.572066| DEBUG    | func: 9| mode: 1| size: 11| data: update (5s)
Time: 08:52:47.632945| LOG      | [INFO]: received: update (5s)
Time: 08:52:47.674115| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:47.733732| SENSOR   | Yaw value received: 288.8
Time: 08:52:47.736238| SYSTEM   | Changed compass orientation
Time: 08:52:47.778120| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:52:47.837229| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:52:47.880846| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:52:47.938066| SENSOR   | Servo voile value received: 150.0
Time: 08:52:47.984104| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:52:48.038864| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:52:48.086418| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:52:48.140422| SENSOR   | Servo safran value received: 103.0
Time: 08:52:48.695663| DEBUG    | func: 9| mode: 1| size: 11| data: update (6s)
Time: 08:52:48.744010| LOG      | [INFO]: received: update (6s)
Time: 08:52:48.798382| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:48.845467| SENSOR   | Yaw value received: 288.8
Time: 08:52:48.848463| SYSTEM   | Changed compass orientation
Time: 08:52:48.901631| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:52:48.949329| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:52:49.004444| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:52:49.050389| SENSOR   | Servo safran value received: 200.0
Time: 08:52:49.106424| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:52:49.151173| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:52:49.208291| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:52:49.252177| SENSOR   | Servo voile value received: 113.0
Time: 08:52:49.818870| DEBUG    | func: 9| mode: 1| size: 11| data: update (7s)
Time: 08:52:49.857231| LOG      | [INFO]: received: update (7s)
Time: 08:52:49.921043| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:49.958323| SENSOR   | Yaw value received: 288.8
Time: 08:52:49.960348| SYSTEM   | Changed compass orientation
Time: 08:52:50.023160| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:52:50.061778| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:52:50.124677| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:52:50.162794| SENSOR   | Servo voile value received: 150.0
Time: 08:52:50.228000| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:52:50.263550| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:52:50.331035| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:52:50.365120| SENSOR   | Servo safran value received: 103.0
Time: 08:52:50.939381| DEBUG    | func: 9| mode: 1| size: 11| data: update (8s)
Time: 08:52:50.968949| LOG      | [INFO]: received: update (8s)
Time: 08:52:51.041580| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:51.070006| SENSOR   | Yaw value received: 288.8
Time: 08:52:51.073047| SYSTEM   | Changed compass orientation
Time: 08:52:51.145598| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:52:51.174309| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:52:51.248076| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:52:51.276035| SENSOR   | Servo safran value received: 200.0
Time: 08:52:51.350037| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:52:51.376674| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:52:51.452783| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:52:51.477688| SENSOR   | Servo voile value received: 113.0
Time: 08:52:52.062054| DEBUG    | func: 9| mode: 1| size: 12| data: update (10s)
Time: 08:52:52.082274| LOG      | [INFO]: received: update (10s)
Time: 08:52:52.164650| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:52.183280| SENSOR   | Yaw value received: 288.8
Time: 08:52:52.185305| SYSTEM   | Changed compass orientation
Time: 08:52:52.267517| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:52:52.286816| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:52:52.371024| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:52:52.387371| SENSOR   | Servo voile value received: 150.0
Time: 08:52:52.473384| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:52:52.487515| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:52:52.577141| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:52:52.588307| SENSOR   | Servo safran value received: 103.0
Time: 08:52:53.187089| DEBUG    | func: 9| mode: 1| size: 12| data: update (11s)
Time: 08:52:53.191929| LOG      | [INFO]: received: update (11s)
Time: 08:52:53.289993| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:53.293171| SENSOR   | Yaw value received: 288.8
Time: 08:52:53.296007| SYSTEM   | Changed compass orientation
Time: 08:52:53.391783| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:52:53.396752| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:52:53.495015| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:52:53.497615| SENSOR   | Servo safran value received: 200.0
Time: 08:52:53.596736| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:52:53.598910| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:52:53.700079| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:52:53.800125| SENSOR   | Servo voile value received: 113.0
Time: 08:52:54.309792| DEBUG    | func: 9| mode: 1| size: 12| data: update (12s)
Time: 08:52:54.403941| LOG      | [INFO]: received: update (12s)
Time: 08:52:54.413038| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:54.504785| SENSOR   | Yaw value received: 288.8
Time: 08:52:54.506811| SYSTEM   | Changed compass orientation
Time: 08:52:54.513492| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:52:54.609029| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:52:54.617502| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:52:54.710065| SENSOR   | Servo voile value received: 150.0
Time: 08:52:54.719940| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:52:54.810854| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:52:54.821450| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:52:54.911926| SENSOR   | Servo safran value received: 103.0
Time: 08:52:55.328625| DEBUG    | func: 9| mode: 1| size: 12| data: update (13s)
Time: 08:52:55.414953| LOG      | [INFO]: received: update (13s)
Time: 08:52:55.431959| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:55.516040| SENSOR   | Yaw value received: 288.8
Time: 08:52:55.519061| SYSTEM   | Changed compass orientation
Time: 08:52:55.535232| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:52:55.619247| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:52:55.637114| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:52:55.720007| SENSOR   | Servo safran value received: 200.0
Time: 08:52:55.739404| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:52:55.820128| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:52:55.843122| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:52:55.921133| SENSOR   | Servo voile value received: 113.0
Time: 08:52:56.453107| DEBUG    | func: 9| mode: 1| size: 12| data: update (14s)
Time: 08:52:56.525363| LOG      | [INFO]: received: update (14s)
Time: 08:52:56.555643| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:56.625811| SENSOR   | Yaw value received: 288.8
Time: 08:52:56.628806| SYSTEM   | Changed compass orientation
Time: 08:52:56.657174| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:52:56.729389| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:52:56.759926| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:52:56.830274| SENSOR   | Servo voile value received: 150.0
Time: 08:52:56.863829| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:52:56.931029| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:52:56.966982| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:52:57.032091| SENSOR   | Servo safran value received: 103.0
Time: 08:52:57.574682| DEBUG    | func: 9| mode: 1| size: 12| data: update (15s)
Time: 08:52:57.635702| LOG      | [INFO]: received: update (15s)
Time: 08:52:57.676425| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:57.737291| SENSOR   | Yaw value received: 288.8
Time: 08:52:57.739942| SYSTEM   | Changed compass orientation
Time: 08:52:57.779365| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:52:57.840188| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:52:57.882509| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:52:57.940927| SENSOR   | Servo safran value received: 200.0
Time: 08:52:57.985593| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:52:58.041987| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:52:58.088552| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:52:58.142939| SENSOR   | Servo voile value received: 113.0
Time: 08:52:58.697938| DEBUG    | func: 9| mode: 1| size: 12| data: update (16s)
Time: 08:52:58.746474| LOG      | [INFO]: received: update (16s)
Time: 08:52:58.800909| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:58.847638| SENSOR   | Yaw value received: 288.8
Time: 08:52:58.850634| SYSTEM   | Changed compass orientation
Time: 08:52:58.904134| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:52:58.950934| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:52:59.006138| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:52:59.051305| SENSOR   | Servo voile value received: 150.0
Time: 08:52:59.109131| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:52:59.151438| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:52:59.212363| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:52:59.252625| SENSOR   | Servo safran value received: 103.0
Time: 08:52:59.821300| DEBUG    | func: 9| mode: 1| size: 12| data: update (17s)
Time: 08:52:59.857024| LOG      | [INFO]: received: update (17s)
Time: 08:52:59.923373| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:52:59.958838| SENSOR   | Yaw value received: 288.8
Time: 08:52:59.961433| SYSTEM   | Changed compass orientation
Time: 08:53:00.023892| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:53:00.062754| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:53:00.127005| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:53:00.163794| SENSOR   | Servo safran value received: 200.0
Time: 08:53:00.229929| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:53:00.265204| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:53:00.333583| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:53:00.366261| SENSOR   | Servo voile value received: 113.0
Time: 08:53:00.939874| DEBUG    | func: 9| mode: 1| size: 12| data: update (18s)
Time: 08:53:00.969163| LOG      | [INFO]: received: update (18s)
Time: 08:53:01.043927| DEBUG    | func: 6| mode: 1| size: 4| data: 288.8
Time: 08:53:01.070118| SENSOR   | Yaw value received: 288.8
Time: 08:53:01.072165| SYSTEM   | Changed compass orientation
Time: 08:53:01.147084| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:53:01.173340| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:53:01.250318| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:53:01.274491| SENSOR   | Servo voile value received: 150.0
Time: 08:53:01.351315| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:53:01.375065| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:53:01.455300| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:53:01.475824| SENSOR   | Servo safran value received: 103.0
Time: 08:53:01.966841| DEBUG    | func: 9| mode: 1| size: 12| data: update (19s)
Time: 08:53:01.979295| LOG      | [INFO]: received: update (19s)
Time: 08:53:02.069507| DEBUG    | func: 6| mode: 1| size: 4| data: 288.9
Time: 08:53:02.080369| SENSOR   | Yaw value received: 288.9
Time: 08:53:02.083392| SYSTEM   | Changed compass orientation
Time: 08:53:02.172729| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:53:02.183861| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:53:02.274217| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:53:02.284555| SENSOR   | Servo safran value received: 200.0
Time: 08:53:02.377495| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:53:02.385094| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:53:02.481098| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:53:02.485953| SENSOR   | Servo voile value received: 113.0
Time: 08:53:03.090465| DEBUG    | func: 9| mode: 1| size: 12| data: update (21s)
Time: 08:53:03.190158| LOG      | [INFO]: received: update (21s)
Time: 08:53:03.191177| DEBUG    | func: 6| mode: 1| size: 4| data: 289.0
Time: 08:53:03.290773| SENSOR   | Yaw value received: 289.0
Time: 08:53:03.293359| SYSTEM   | Changed compass orientation
Time: 08:53:03.294330| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:53:03.394243| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:53:03.395274| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:53:03.495439| SENSOR   | Servo voile value received: 150.0
Time: 08:53:03.499004| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:53:03.596204| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:53:03.602906| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:53:03.697281| SENSOR   | Servo safran value received: 103.0
Time: 08:53:04.212083| DEBUG    | func: 9| mode: 1| size: 12| data: update (22s)
Time: 08:53:04.300453| LOG      | [INFO]: received: update (22s)
Time: 08:53:04.314927| DEBUG    | func: 6| mode: 1| size: 4| data: 289.0
Time: 08:53:04.401057| SENSOR   | Yaw value received: 289.0
Time: 08:53:04.403665| SYSTEM   | Changed compass orientation
Time: 08:53:04.417111| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:53:04.504532| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:53:04.518209| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:53:04.605569| SENSOR   | Servo safran value received: 200.0
Time: 08:53:04.621488| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:53:04.705923| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:53:04.723491| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:53:04.806789| SENSOR   | Servo voile value received: 113.0
Time: 08:53:05.334842| DEBUG    | func: 9| mode: 1| size: 12| data: update (23s)
Time: 08:53:05.411411| LOG      | [INFO]: received: update (23s)
Time: 08:53:05.436248| DEBUG    | func: 6| mode: 1| size: 4| data: 289.0
Time: 08:53:05.512539| SENSOR   | Yaw value received: 289.0
Time: 08:53:05.514536| SYSTEM   | Changed compass orientation
Time: 08:53:05.539234| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:53:05.615681| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:53:05.642200| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:53:05.716539| SENSOR   | Servo voile value received: 150.0
Time: 08:53:05.745517| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:53:05.817234| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:53:05.847457| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:53:05.918173| SENSOR   | Servo safran value received: 103.0
Time: 08:59:45.056994| DEBUG    | func: 9| mode: 1| size: 12| data: update (24s)
Time: 08:59:45.130815| LOG      | [INFO]: received: update (24s)
Time: 08:59:45.159587| DEBUG    | func: 6| mode: 1| size: 4| data: 289.0
Time: 08:59:45.231897| SENSOR   | Yaw value received: 289.0
Time: 08:59:45.233921| SYSTEM   | Changed compass orientation
Time: 08:59:45.262930| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:59:45.334633| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:59:45.366851| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:59:45.435691| SENSOR   | Servo safran value received: 200.0
Time: 08:59:45.469994| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:59:45.536441| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:59:45.572023| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:59:45.637330| SENSOR   | Servo voile value received: 113.0
Time: 08:59:46.182216| DEBUG    | func: 9| mode: 1| size: 12| data: update (25s)
Time: 08:59:46.241312| LOG      | [INFO]: received: update (25s)
Time: 08:59:46.285255| DEBUG    | func: 6| mode: 1| size: 4| data: 299.1
Time: 08:59:46.341816| SENSOR   | Yaw value received: 299.1
Time: 08:59:46.343814| SYSTEM   | Changed compass orientation
Time: 08:59:46.387187| DEBUG    | func: 9| mode: 1| size: 34| data: Val pwm voile: 150, val angle: 90\n
Time: 08:59:46.444830| LOG      | [INFO]: received: Val pwm voile: 150, val angle: 90\n
Time: 08:59:46.489908| DEBUG    | func: 8| mode: 1| size: 4| data: 150.0
Time: 08:59:46.545923| SENSOR   | Servo voile value received: 150.0
Time: 08:59:46.592477| DEBUG    | func: 9| mode: 1| size: 35| data: Val pwm safran: 103, val angle: 30\n
Time: 08:59:46.646787| LOG      | [INFO]: received: Val pwm safran: 103, val angle: 30\n
Time: 08:59:46.695537| DEBUG    | func: 7| mode: 1| size: 4| data: 103.0
Time: 08:59:46.747847| SENSOR   | Servo safran value received: 103.0
Time: 08:59:47.305409| DEBUG    | func: 9| mode: 1| size: 12| data: update (26s)
Time: 08:59:47.351234| LOG      | [INFO]: received: update (26s)
Time: 08:59:47.407720| DEBUG    | func: 6| mode: 1| size: 4| data: 299.1
Time: 08:59:47.452271| SENSOR   | Yaw value received: 299.1
Time: 08:59:47.454268| SYSTEM   | Changed compass orientation
Time: 08:59:47.511199| DEBUG    | func: 9| mode: 1| size: 36| data: Val pwm safran: 200, val angle: -30\n
Time: 08:59:47.555325| LOG      | [INFO]: received: Val pwm safran: 200, val angle: -30\n
Time: 08:59:47.613586| DEBUG    | func: 7| mode: 1| size: 4| data: 200.0
Time: 08:59:47.655714| SENSOR   | Servo safran value received: 200.0
Time: 08:59:47.717804| DEBUG    | func: 9| mode: 1| size: 33| data: Val pwm voile: 113, val angle: 0\n
Time: 08:59:47.756423| LOG      | [INFO]: received: Val pwm voile: 113, val angle: 0\n
Time: 08:59:47.820995| DEBUG    | func: 8| mode: 1| size: 4| data: 113.0
Time: 08:59:47.857425| SENSOR   | Servo voile value received: 113.0
